Entity,Code,Year,Coal price
Asian marker price,,1998,29.476786
Asian marker price,,1999,27.817469
Asian marker price,,2000,31.759445
Asian marker price,,2001,36.8946
Asian marker price,,2002,30.406666
Asian marker price,,2003,36.529198
Asian marker price,,2004,72.416664
Asian marker price,,2005,61.84
Asian marker price,,2006,56.473614
Asian marker price,,2007,84.565
Asian marker price,,2008,148.05833
Asian marker price,,2009,78.80666
Asian marker price,,2010,105.43083
Asian marker price,,2011,125.736664
Asian marker price,,2012,105.504166
Asian marker price,,2013,90.89667
Asian marker price,,2014,77.8875
Asian marker price,,2015,63.516685
Asian marker price,,2016,71.12264
Asian marker price,,2017,99.575554
Asian marker price,,2018,111.693085
Asian marker price,,2019,88.98251
Asian marker price,,2020,71.331665
Asian marker price,,2021,145.1625
China Qinhuangdao spot price,,2000,27.521093
China Qinhuangdao spot price,,2001,31.78401
China Qinhuangdao spot price,,2002,33.194866
China Qinhuangdao spot price,,2003,31.744373
China Qinhuangdao spot price,,2004,42.76046
China Qinhuangdao spot price,,2005,51.341537
China Qinhuangdao spot price,,2006,53.52624
China Qinhuangdao spot price,,2007,61.227825
China Qinhuangdao spot price,,2008,104.97216
China Qinhuangdao spot price,,2009,87.8617
China Qinhuangdao spot price,,2010,110.07921
China Qinhuangdao spot price,,2011,127.2684
China Qinhuangdao spot price,,2012,111.88971
China Qinhuangdao spot price,,2013,95.41863
China Qinhuangdao spot price,,2014,84.116425
China Qinhuangdao spot price,,2015,67.53188
China Qinhuangdao spot price,,2016,71.34886
China Qinhuangdao spot price,,2017,94.72347
China Qinhuangdao spot price,,2018,99.446754
China Qinhuangdao spot price,,2019,85.8911
China Qinhuangdao spot price,,2020,83.09521
China Qinhuangdao spot price,,2021,153.54634
Japan coking coal import CIF price,,1987,53.439167
Japan coking coal import CIF price,,1988,55.064167
Japan coking coal import CIF price,,1989,58.684166
Japan coking coal import CIF price,,1990,60.536667
Japan coking coal import CIF price,,1991,60.45
Japan coking coal import CIF price,,1992,57.815834
Japan coking coal import CIF price,,1993,55.258335
Japan coking coal import CIF price,,1994,51.765
Japan coking coal import CIF price,,1995,54.468334
Japan coking coal import CIF price,,1996,56.679165
Japan coking coal import CIF price,,1997,55.51
Japan coking coal import CIF price,,1998,50.756668
Japan coking coal import CIF price,,1999,42.830833
Japan coking coal import CIF price,,2000,39.694168
Japan coking coal import CIF price,,2001,41.329166
Japan coking coal import CIF price,,2002,42.013332
Japan coking coal import CIF price,,2003,41.57
Japan coking coal import CIF price,,2004,60.96
Japan coking coal import CIF price,,2005,89.33
Japan coking coal import CIF price,,2006,93.4625
Japan coking coal import CIF price,,2007,88.2425
Japan coking coal import CIF price,,2008,179.02667
Japan coking coal import CIF price,,2009,167.8225
Japan coking coal import CIF price,,2010,158.94583
Japan coking coal import CIF price,,2011,229.12334
Japan coking coal import CIF price,,2012,191.46417
Japan coking coal import CIF price,,2013,140.44667
Japan coking coal import CIF price,,2014,114.41333
Japan coking coal import CIF price,,2015,93.845
Japan coking coal import CIF price,,2016,89.39833
Japan coking coal import CIF price,,2017,150.0025
Japan coking coal import CIF price,,2018,158.4925
Japan coking coal import CIF price,,2019,148.51833
Japan coking coal import CIF price,,2020,108.41
Japan coking coal import CIF price,,2021,134.85985
Japan steam coal import CIF price,,1987,41.281666
Japan steam coal import CIF price,,1988,42.46583
Japan steam coal import CIF price,,1989,48.8625
Japan steam coal import CIF price,,1990,50.814167
Japan steam coal import CIF price,,1991,50.295834
Japan steam coal import CIF price,,1992,48.454166
Japan steam coal import CIF price,,1993,45.711666
Japan steam coal import CIF price,,1994,43.661667
Japan steam coal import CIF price,,1995,47.575
Japan steam coal import CIF price,,1996,49.53583
Japan steam coal import CIF price,,1997,45.52833
Japan steam coal import CIF price,,1998,40.506668
Japan steam coal import CIF price,,1999,35.740833
Japan steam coal import CIF price,,2000,34.58
Japan steam coal import CIF price,,2001,37.961666
Japan steam coal import CIF price,,2002,36.899166
Japan steam coal import CIF price,,2003,34.74
Japan steam coal import CIF price,,2004,51.34
Japan steam coal import CIF price,,2005,62.91
Japan steam coal import CIF price,,2006,63.03583
Japan steam coal import CIF price,,2007,69.86083
Japan steam coal import CIF price,,2008,122.81
Japan steam coal import CIF price,,2009,110.10667
Japan steam coal import CIF price,,2010,105.185
Japan steam coal import CIF price,,2011,136.20833
Japan steam coal import CIF price,,2012,133.61333
Japan steam coal import CIF price,,2013,111.1575
Japan steam coal import CIF price,,2014,97.65417
Japan steam coal import CIF price,,2015,79.47
Japan steam coal import CIF price,,2016,72.96667
Japan steam coal import CIF price,,2017,99.1625
Japan steam coal import CIF price,,2018,117.39083
Japan steam coal import CIF price,,2019,108.58083
Japan steam coal import CIF price,,2020,80.5
Japan steam coal import CIF price,,2021,130.36726
Japan steam spot CIF price,,2001,37.689877
Japan steam spot CIF price,,2002,31.474741
Japan steam spot CIF price,,2003,39.612595
Japan steam spot CIF price,,2004,74.215836
Japan steam spot CIF price,,2005,64.623085
Japan steam spot CIF price,,2006,65.2175
Japan steam spot CIF price,,2007,95.58604
Japan steam spot CIF price,,2008,157.8775
Japan steam spot CIF price,,2009,83.58667
Japan steam spot CIF price,,2010,108.46532
Japan steam spot CIF price,,2011,126.13084
Japan steam spot CIF price,,2012,100.29833
Japan steam spot CIF price,,2013,90.065
Japan steam spot CIF price,,2014,76.13
Japan steam spot CIF price,,2015,60.095882
Japan steam spot CIF price,,2016,71.65796
Japan steam spot CIF price,,2017,96.02469
Japan steam spot CIF price,,2018,112.733315
Japan steam spot CIF price,,2019,85.47812
Japan steam spot CIF price,,2020,69.005
Japan steam spot CIF price,,2021,155.41083
Japan steam spot CIF price,,2022,225.26884
Newcastle Thermal Coal FOB,,2018,78.6735
Newcastle Thermal Coal FOB,,2019,77.59124
Newcastle Thermal Coal FOB,,2020,48.81299
Newcastle Thermal Coal FOB,,2021,90.82403
Newcastle Thermal Coal FOB,,2022,190.35382
Northwest Europe,,1987,31.3
Northwest Europe,,1988,39.94
Northwest Europe,,1989,42.08
Northwest Europe,,1990,43.48
Northwest Europe,,1991,42.8
Northwest Europe,,1992,38.53
Northwest Europe,,1993,33.68
Northwest Europe,,1994,37.18
Northwest Europe,,1995,44.5
Northwest Europe,,1996,41.25
Northwest Europe,,1997,38.92
Northwest Europe,,1998,32
Northwest Europe,,1999,28.79
Northwest Europe,,2000,35.99
Northwest Europe,,2001,39.03423
Northwest Europe,,2002,31.649616
Northwest Europe,,2003,43.597885
Northwest Europe,,2004,72.13434
Northwest Europe,,2005,60.53923
Northwest Europe,,2006,64.10808
Northwest Europe,,2007,88.785194
Northwest Europe,,2008,147.67366
Northwest Europe,,2009,70.38885
Northwest Europe,,2010,92.49962
Northwest Europe,,2011,121.48
Northwest Europe,,2012,92.49962
Northwest Europe,,2013,81.68904
Northwest Europe,,2014,75.38077
Northwest Europe,,2015,56.794037
Northwest Europe,,2016,60.085648
Northwest Europe,,2017,84.510414
Northwest Europe,,2018,91.82706
Northwest Europe,,2019,60.85525
Northwest Europe,,2020,50.16427
Northwest Europe,,2021,121.69981
Northwest Europe,,2022,293.6276
US Central Appalachian coal spot price index,,1990,31.591919
US Central Appalachian coal spot price index,,1991,29.010532
US Central Appalachian coal spot price index,,1992,28.534538
US Central Appalachian coal spot price index,,1993,29.853958
US Central Appalachian coal spot price index,,1994,31.716177
US Central Appalachian coal spot price index,,1995,27.00635
US Central Appalachian coal spot price index,,1996,29.862309
US Central Appalachian coal spot price index,,1997,29.76
US Central Appalachian coal spot price index,,1998,31.003105
US Central Appalachian coal spot price index,,1999,31.294296
US Central Appalachian coal spot price index,,2000,29.90448
