Entity,Code,Year,Gas price
Average German import price,,1984,13.633105
Average German import price,,1985,14.513237
Average German import price,,1986,13.404447
Average German import price,,1987,8.6920805
Average German import price,,1988,7.575865
Average German import price,,1989,6.8257527
Average German import price,,1990,9.471347
Average German import price,,1991,11.031981
Average German import price,,1992,9.207957
Average German import price,,1993,8.568814
Average German import price,,1994,8.019783
Average German import price,,1995,8.291712
Average German import price,,1996,8.5192
Average German import price,,1997,9.092168
Average German import price,,1998,7.9518566
Average German import price,,1999,6.3559146
Average German import price,,2000,9.929977
Average German import price,,2001,12.512001
Average German import price,,2002,10.959954
Average German import price,,2003,13.863495
Average German import price,,2004,14.677922
Average German import price,,2005,19.893044
Average German import price,,2006,26.866999
Average German import price,,2007,27.27553
Average German import price,,2008,39.580975
Average German import price,,2009,29.109001
Average German import price,,2010,27.40186
Average German import price,,2011,35.796246
Average German import price,,2012,37.27791
Average German import price,,2013,36.59816
Average German import price,,2014,31.099682
Average German import price,,2015,22.925518
Average German import price,,2016,16.82564
Average German import price,,2017,19.191374
Average German import price,,2018,22.655678
Average German import price,,2019,17.162077
Average German import price,,2020,13.862382
Average German import price,,2021,30.491917
Average German import price,,2022,82.46803
Canada (Alberta),,1990,3.5825996
Canada (Alberta),,1991,3.0309932
Canada (Alberta),,1992,3.3409166
Canada (Alberta),,1993,5.77481
Canada (Alberta),,1994,4.9559298
Canada (Alberta),,1995,3.0366797
Canada (Alberta),,1996,3.824283
Canada (Alberta),,1997,4.634633
Canada (Alberta),,1998,4.85357
Canada (Alberta),,1999,6.809783
Canada (Alberta),,2000,12.786469
Canada (Alberta),,2001,12.323006
Canada (Alberta),,2002,8.774527
Canada (Alberta),,2003,16.477118
Canada (Alberta),,2004,17.168047
Canada (Alberta),,2005,24.737
Canada (Alberta),,2006,19.903334
Canada (Alberta),,2007,21.043509
Canada (Alberta),,2008,27.261877
Canada (Alberta),,2009,11.541089
Canada (Alberta),,2010,12.576307
Canada (Alberta),,2011,11.8552475
Canada (Alberta),,2012,7.73998
Canada (Alberta),,2013,9.983562
Canada (Alberta),,2014,13.198885
Canada (Alberta),,2015,6.8489823
Canada (Alberta),,2016,5.2901516
Canada (Alberta),,2017,5.389879
Canada (Alberta),,2018,4.0343556
Canada (Alberta),,2019,4.325315
Canada (Alberta),,2020,5.396313
Canada (Alberta),,2021,9.394648
LNG Japan CIF,,1984,17.4012
LNG Japan CIF,,1985,17.860638
LNG Japan CIF,,1986,13.995955
LNG Japan CIF,,1987,11.439202
LNG Japan CIF,,1988,11.410098
LNG Japan CIF,,1989,11.188734
LNG Japan CIF,,1990,12.435283
LNG Japan CIF,,1991,13.600034
LNG Japan CIF,,1992,12.36043
LNG Japan CIF,,1993,12.017139
LNG Japan CIF,,1994,10.849798
LNG Japan CIF,,1995,11.809997
LNG Japan CIF,,1996,12.499002
LNG Japan CIF,,1997,13.328344
LNG Japan CIF,,1998,10.405417
LNG Japan CIF,,1999,10.704777
LNG Japan CIF,,2000,16.11573
LNG Japan CIF,,2001,15.823704
LNG Japan CIF,,2002,14.580846
LNG Japan CIF,,2003,16.272438
LNG Japan CIF,,2004,17.681095
LNG Japan CIF,,2005,20.63478
LNG Japan CIF,,2006,24.310741
LNG Japan CIF,,2007,26.370583
LNG Japan CIF,,2008,42.814846
LNG Japan CIF,,2009,30.901814
LNG Japan CIF,,2010,37.297436
LNG Japan CIF,,2011,50.403873
LNG Japan CIF,,2012,57.164215
LNG Japan CIF,,2013,55.186237
LNG Japan CIF,,2014,55.723515
LNG Japan CIF,,2015,35.029564
LNG Japan CIF,,2016,23.655802
LNG Japan CIF,,2017,27.631294
LNG Japan CIF,,2018,34.348564
LNG Japan CIF,,2019,33.9312
LNG Japan CIF,,2020,26.550177
LNG Japan CIF,,2021,34.368183
LNG Japan Korea Marker (JKM),,2009,17.999617
LNG Japan Korea Marker (JKM),,2010,26.34261
LNG Japan Korea Marker (JKM),,2011,47.83624
LNG Japan Korea Marker (JKM),,2012,51.57591
LNG Japan Korea Marker (JKM),,2013,56.491703
LNG Japan Korea Marker (JKM),,2014,47.277946
LNG Japan Korea Marker (JKM),,2015,25.419054
LNG Japan Korea Marker (JKM),,2016,19.52659
LNG Japan Korea Marker (JKM),,2017,24.323805
LNG Japan Korea Marker (JKM),,2018,33.30112
LNG Japan Korea Marker (JKM),,2019,18.745869
LNG Japan Korea Marker (JKM),,2020,14.968497
LNG Japan Korea Marker (JKM),,2021,63.447598
LNG Japan Korea Marker (JKM),,2022,115.93975
Netherlands TTF index (DA ICIS Heren TTF index),,2005,20.725826
Netherlands TTF index (DA ICIS Heren TTF index),,2006,25.445137
Netherlands TTF index (DA ICIS Heren TTF index),,2007,20.246593
Netherlands TTF index (DA ICIS Heren TTF index),,2008,36.36296
Netherlands TTF index (DA ICIS Heren TTF index),,2009,16.922388
Netherlands TTF index (DA ICIS Heren TTF index),,2010,23.097183
Netherlands TTF index (DA ICIS Heren TTF index),,2011,31.592701
Netherlands TTF index (DA ICIS Heren TTF index),,2012,32.236923
Netherlands TTF index (DA ICIS Heren TTF index),,2013,33.28102
Netherlands TTF index (DA ICIS Heren TTF index),,2014,27.786377
Netherlands TTF index (DA ICIS Heren TTF index),,2015,21.962942
Netherlands TTF index (DA ICIS Heren TTF index),,2016,15.489475
Netherlands TTF index (DA ICIS Heren TTF index),,2017,19.520258
Netherlands TTF index (DA ICIS Heren TTF index),,2018,26.962841
Netherlands TTF index (DA ICIS Heren TTF index),,2019,15.175744
Netherlands TTF index (DA ICIS Heren TTF index),,2020,10.474839
Netherlands TTF index (DA ICIS Heren TTF index),,2021,54.647816
Netherlands TTF index (DA ICIS Heren TTF index),,2022,127.87402
UK NBP (ICIS NBP Index),,1996,6.3666935
UK NBP (ICIS NBP Index),,1997,6.6770024
UK NBP (ICIS NBP Index),,1998,6.3629103
UK NBP (ICIS NBP Index),,1999,5.3877783
UK NBP (ICIS NBP Index),,2000,9.249372
UK NBP (ICIS NBP Index),,2001,10.831888
UK NBP (ICIS NBP Index),,2002,8.09532
UK NBP (ICIS NBP Index),,2003,11.366989
UK NBP (ICIS NBP Index),,2004,15.208088
UK NBP (ICIS NBP Index),,2005,25.19105
UK NBP (ICIS NBP Index),,2006,26.85963
UK NBP (ICIS NBP Index),,2007,20.493778
UK NBP (ICIS NBP Index),,2008,36.824535
UK NBP (ICIS NBP Index),,2009,16.548199
UK NBP (ICIS NBP Index),,2010,22.369574
UK NBP (ICIS NBP Index),,2011,30.852942
UK NBP (ICIS NBP Index),,2012,32.292805
UK NBP (ICIS NBP Index),,2013,36.298363
UK NBP (ICIS NBP Index),,2014,28.160156
UK NBP (ICIS NBP Index),,2015,22.267046
UK NBP (ICIS NBP Index),,2016,16.002886
UK NBP (ICIS NBP Index),,2017,19.80596
UK NBP (ICIS NBP Index),,2018,27.504547
UK NBP (ICIS NBP Index),,2019,15.241231
UK NBP (ICIS NBP Index),,2020,11.66904
UK NBP (ICIS NBP Index),,2021,53.91644
UK NBP (ICIS NBP Index),,2022,85.64119
US Henry Hub,,1989,5.7890267
US Henry Hub,,1990,5.589993
US Henry Hub,,1991,5.0725064
US Henry Hub,,1992,6.044926
US Henry Hub,,1993,7.2362833
US Henry Hub,,1994,6.5510397
US Henry Hub,,1995,5.754906
US Henry Hub,,1996,9.405746
US Henry Hub,,1997,8.6153
US Henry Hub,,1998,7.1111765
US Henry Hub,,1999,7.7310233
