Entity,Code,Year,Gold (New York Market Price) (Laurence & Williamson (2017))
World,OWID_WRL,1791,623.3885
World,OWID_WRL,1792,623.3885
World,OWID_WRL,1793,623.3885
World,OWID_WRL,1794,623.3885
World,OWID_WRL,1795,623.3885
World,OWID_WRL,1796,623.3885
World,OWID_WRL,1797,623.3885
World,OWID_WRL,1798,623.3885
World,OWID_WRL,1799,623.3885
World,OWID_WRL,1800,623.3885
World,OWID_WRL,1801,623.3885
World,OWID_WRL,1802,623.3885
World,OWID_WRL,1803,623.3885
World,OWID_WRL,1804,623.3885
World,OWID_WRL,1805,623.3885
World,OWID_WRL,1806,623.3885
World,OWID_WRL,1807,623.3885
World,OWID_WRL,1808,623.3885
World,OWID_WRL,1809,623.3885
World,OWID_WRL,1810,623.3885
World,OWID_WRL,1811,623.3885
World,OWID_WRL,1812,623.3885
World,OWID_WRL,1813,623.3885
World,OWID_WRL,1814,646.215
World,OWID_WRL,1815,695.726
World,OWID_WRL,1816,673.5424999999999
World,OWID_WRL,1817,625.639
World,OWID_WRL,1818,623.3885
World,OWID_WRL,1819,623.3885
World,OWID_WRL,1820,623.3885
World,OWID_WRL,1821,623.3885
World,OWID_WRL,1822,623.3885
World,OWID_WRL,1823,623.3885
World,OWID_WRL,1824,623.3885
World,OWID_WRL,1825,623.3885
World,OWID_WRL,1826,623.3885
World,OWID_WRL,1827,623.3885
World,OWID_WRL,1828,623.3885
World,OWID_WRL,1829,623.3885
World,OWID_WRL,1830,623.3885
World,OWID_WRL,1831,623.3885
World,OWID_WRL,1832,623.3885
World,OWID_WRL,1833,623.3885
World,OWID_WRL,1834,641.071
World,OWID_WRL,1835,665.1835
World,OWID_WRL,1836,665.1835
World,OWID_WRL,1837,695.726
World,OWID_WRL,1838,670.649
World,OWID_WRL,1839,664.5405000000001
World,OWID_WRL,1840,664.5405000000001
World,OWID_WRL,1841,664.5405000000001
World,OWID_WRL,1842,664.5405000000001
World,OWID_WRL,1843,664.5405000000001
World,OWID_WRL,1844,664.5405000000001
World,OWID_WRL,1845,664.5405000000001
World,OWID_WRL,1846,664.5405000000001
World,OWID_WRL,1847,664.5405000000001
World,OWID_WRL,1848,664.5405000000001
World,OWID_WRL,1849,664.5405000000001
World,OWID_WRL,1850,664.5405000000001
World,OWID_WRL,1851,664.5405000000001
World,OWID_WRL,1852,664.5405000000001
World,OWID_WRL,1853,664.5405000000001
World,OWID_WRL,1854,664.5405000000001
World,OWID_WRL,1855,664.5405000000001
World,OWID_WRL,1856,664.5405000000001
World,OWID_WRL,1857,665.505
World,OWID_WRL,1858,664.5405000000001
World,OWID_WRL,1859,664.5405000000001
World,OWID_WRL,1860,664.5405000000001
World,OWID_WRL,1861,664.5405000000001
World,OWID_WRL,1862,752.953
World,OWID_WRL,1863,965.1429999999999
World,OWID_WRL,1864,1351.2645
World,OWID_WRL,1865,1045.518
World,OWID_WRL,1866,936.5294999999999
World,OWID_WRL,1867,918.5255
World,OWID_WRL,1868,928.492
World,OWID_WRL,1869,883.8034999999999
World,OWID_WRL,1870,763.5625
World,OWID_WRL,1871,742.3435
World,OWID_WRL,1872,747.1659999999999
World,OWID_WRL,1873,756.168
World,OWID_WRL,1874,739.1284999999999
World,OWID_WRL,1875,763.5625
World,OWID_WRL,1876,741.0575
World,OWID_WRL,1877,696.369
World,OWID_WRL,1878,670.006
World,OWID_WRL,1879,664.5405000000001
World,OWID_WRL,1880,664.5405000000001
World,OWID_WRL,1881,664.5405000000001
World,OWID_WRL,1882,664.5405000000001
World,OWID_WRL,1883,664.5405000000001
World,OWID_WRL,1884,664.5405000000001
World,OWID_WRL,1885,664.5405000000001
World,OWID_WRL,1886,664.5405000000001
World,OWID_WRL,1887,664.5405000000001
World,OWID_WRL,1888,664.5405000000001
World,OWID_WRL,1889,664.5405000000001
World,OWID_WRL,1890,664.5405000000001
World,OWID_WRL,1891,664.5405000000001
World,OWID_WRL,1892,664.5405000000001
World,OWID_WRL,1893,664.5405000000001
World,OWID_WRL,1894,664.5405000000001
World,OWID_WRL,1895,664.5405000000001
World,OWID_WRL,1896,664.5405000000001
World,OWID_WRL,1897,664.5405000000001
World,OWID_WRL,1898,664.5405000000001
World,OWID_WRL,1899,664.5405000000001
World,OWID_WRL,1900,664.5405000000001
World,OWID_WRL,1901,664.5405000000001
World,OWID_WRL,1902,664.5405000000001
World,OWID_WRL,1903,664.5405000000001
World,OWID_WRL,1904,664.5405000000001
World,OWID_WRL,1905,664.5405000000001
World,OWID_WRL,1906,664.5405000000001
World,OWID_WRL,1907,664.5405000000001
World,OWID_WRL,1908,664.5405000000001
World,OWID_WRL,1909,664.5405000000001
World,OWID_WRL,1910,664.5405000000001
World,OWID_WRL,1911,664.5405000000001
World,OWID_WRL,1912,664.5405000000001
World,OWID_WRL,1913,664.5405000000001
World,OWID_WRL,1914,664.5405000000001
World,OWID_WRL,1915,664.5405000000001
World,OWID_WRL,1916,664.5405000000001
World,OWID_WRL,1917,664.5405000000001
World,OWID_WRL,1918,664.5405000000001
World,OWID_WRL,1919,664.5405000000001
World,OWID_WRL,1920,664.5405000000001
World,OWID_WRL,1921,664.5405000000001
World,OWID_WRL,1922,664.5405000000001
World,OWID_WRL,1923,664.5405000000001
World,OWID_WRL,1924,664.5405000000001
World,OWID_WRL,1925,664.5405000000001
World,OWID_WRL,1926,664.5405000000001
World,OWID_WRL,1927,664.5405000000001
World,OWID_WRL,1928,664.5405000000001
World,OWID_WRL,1929,664.5405000000001
World,OWID_WRL,1930,664.5405000000001
World,OWID_WRL,1931,664.5405000000001
World,OWID_WRL,1932,664.5405000000001
World,OWID_WRL,1933,785.746
World,OWID_WRL,1934,1123.321
World,OWID_WRL,1935,1125.25
World,OWID_WRL,1936,1125.25
World,OWID_WRL,1937,1125.25
World,OWID_WRL,1938,1125.25
World,OWID_WRL,1939,1125.25
World,OWID_WRL,1940,1125.25
World,OWID_WRL,1941,1125.25
World,OWID_WRL,1942,1125.25
World,OWID_WRL,1943,1125.25
World,OWID_WRL,1944,1125.25
World,OWID_WRL,1945,1125.25
World,OWID_WRL,1946,1125.25
World,OWID_WRL,1947,1125.25
World,OWID_WRL,1948,1125.25
World,OWID_WRL,1949,1125.25
World,OWID_WRL,1950,1125.25
World,OWID_WRL,1951,1125.25
World,OWID_WRL,1952,1125.25
World,OWID_WRL,1953,1125.25
